Age of Message,Score (Lazy)
219.0,138.825
220.0,138.775
221.0,138.725
222.0,138.67499999999998
223.0,138.625
224.0,138.575
225.0,138.52499999999998
226.0,138.475
227.0,138.425
228.0,138.375
229.0,138.325
230.0,138.27499999999998
231.0,138.225
232.0,138.17499999999998
233.0,138.125
234.0,138.075
235.0,138.025
236.0,137.975
237.0,137.92499999999998
238.0,137.875
239.0,137.825
240.0,137.77499999999998
241.0,137.725
242.0,137.675
243.0,137.625
244.0,137.575
245.0,137.52499999999998
246.0,137.475
247.0,137.42499999999998
248.0,137.375
249.0,137.325
250.0,137.275
251.0,137.22499999999997
252.0,137.17499999999998
253.0,137.125
254.0,137.075
255.0,137.02499999999998
256.0,136.975
257.0,136.925
258.0,136.875
259.0,136.825
260.0,136.77499999999998
261.0,136.725
262.0,136.67499999999998
263.0,136.625
264.0,136.575
265.0,136.525
266.0,136.47499999999997
267.0,136.42499999999998
268.0,136.375
269.0,136.325
270.0,136.27499999999998
271.0,136.225
272.0,136.175
273.0,136.125
274.0,136.075
275.0,136.02499999999998
276.0,135.975
277.0,135.92499999999998
278.0,135.875
279.0,135.825
280.0,135.775
281.0,135.72499999999997
282.0,135.67499999999998
283.0,135.625
284.0,135.575
285.0,135.52499999999998
286.0,135.475
287.0,135.425
288.0,135.375
289.0,135.325
290.0,135.27499999999998
291.0,135.225
292.0,135.17499999999998
293.0,135.125
294.0,135.075
295.0,135.025
296.0,134.97499999999997
297.0,134.92499999999998
298.0,134.875
299.0,134.825
300.0,134.77499999999998
301.0,134.725
302.0,134.675
303.0,134.625
304.0,134.575
305.0,134.52499999999998
306.0,134.475
307.0,134.42499999999998
308.0,134.375
309.0,134.325
310.0,134.275
311.0,134.22499999999997
312.0,134.17499999999998
313.0,134.125
314.0,134.075
315.0,134.02499999999998
316.0,133.975
317.0,133.925
318.0,133.875
319.0,133.825
320.0,133.77499999999998
321.0,133.725
322.0,133.67499999999998
323.0,133.625
324.0,133.575
325.0,133.525
326.0,133.47499999999997
327.0,133.42499999999998
328.0,133.375
329.0,133.325
330.0,133.27499999999998
331.0,133.225
332.0,133.175
333.0,133.125
334.0,133.075
335.0,133.02499999999998
336.0,132.975
337.0,132.92499999999998
338.0,132.875
339.0,132.825
340.0,132.775
341.0,132.72499999999997
342.0,132.67499999999998
343.0,132.625
344.0,132.575
345.0,132.52499999999998
346.0,132.475
347.0,132.425
348.0,132.375
349.0,132.325
350.0,132.27499999999998
351.0,132.225
352.0,132.17499999999998
353.0,132.125
354.0,132.075
355.0,132.025
356.0,131.97499999999997
357.0,131.92499999999998
358.0,131.875
359.0,131.825
360.0,131.77499999999998
361.0,131.725
362.0,131.675
363.0,131.625
364.0,131.575
365.0,131.52499999999998
366.0,131.475
367.0,131.42499999999998
368.0,131.375
369.0,131.325
370.0,131.275
371.0,131.22499999999997
372.0,131.17499999999998
373.0,131.125
374.0,131.075
375.0,131.02499999999998
376.0,130.975
377.0,130.925
378.0,130.875
379.0,130.825
380.0,130.77499999999998
381.0,130.725
382.0,130.67499999999998
383.0,130.625
384.0,130.575
385.0,130.525
386.0,130.47499999999997
387.0,130.42499999999998
388.0,130.375
389.0,130.325
390.0,130.27499999999998
391.0,130.225
392.0,130.175
393.0,130.125
394.0,130.075
395.0,130.02499999999998
396.0,129.975
397.0,129.92499999999998
398.0,129.875
399.0,129.825
400.0,129.775
401.0,129.72499999999997
402.0,129.67499999999998
403.0,129.625
404.0,129.575
405.0,129.52499999999998
406.0,129.475
407.0,129.425
408.0,129.375
409.0,129.325
410.0,129.27499999999998
411.0,129.225
412.0,129.17499999999998
413.0,129.125
414.0,129.075
415.0,129.025
416.0,128.97499999999997
417.0,128.92499999999998
418.0,128.875
419.0,128.825
420.0,128.77499999999998
421.0,128.725
422.0,128.675
423.0,128.625
424.0,128.575
425.0,128.52499999999998
426.0,128.475
427.0,128.42499999999998
428.0,128.375
429.0,128.325
430.0,128.275
431.0,128.22499999999997
432.0,128.17499999999998
433.0,128.125
434.0,128.075
435.0,128.02499999999998
436.0,127.975
437.0,127.925
438.0,127.875
439.0,127.825
440.0,127.77499999999998
441.0,127.725
442.0,127.67499999999998
443.0,127.625
444.0,127.57499999999999
445.0,127.525
446.0,127.47499999999998
447.0,127.42499999999998
448.0,127.37499999999999
449.0,127.32499999999999
450.0,127.27499999999999
451.0,127.225
452.0,127.175
453.0,127.125
454.0,127.075
455.0,127.02499999999998
456.0,126.975
457.0,126.92499999999998
458.0,126.875
459.0,126.82499999999999
460.0,126.775
461.0,126.72499999999998
462.0,126.67499999999998
463.0,126.62499999999999
464.0,126.57499999999999
465.0,126.52499999999999
466.0,126.475
467.0,126.425
468.0,126.375
469.0,126.325
470.0,126.27499999999998
471.0,126.225
472.0,126.17499999999998
473.0,126.125
474.0,126.07499999999999
475.0,126.025
476.0,125.97499999999998
477.0,125.92499999999998
478.0,125.87499999999999
479.0,125.82499999999999
480.0,125.77499999999999
481.0,125.725
482.0,125.675
483.0,125.625
484.0,125.575
485.0,125.52499999999998
486.0,125.475
487.0,125.42499999999998
488.0,125.375
489.0,125.32499999999999
490.0,125.275
491.0,125.22499999999998
492.0,125.17499999999998
493.0,125.12499999999999
494.0,125.07499999999999
495.0,125.02499999999999
496.0,124.975
497.0,124.925
498.0,124.875
499.0,124.825
500.0,124.77499999999998
501.0,124.725
502.0,124.67499999999998
503.0,124.625
504.0,124.57499999999999
505.0,124.525
506.0,124.47499999999998
507.0,124.42499999999998
508.0,124.37499999999999
509.0,124.32499999999999
510.0,124.27499999999999
511.0,124.225
512.0,124.175
513.0,124.125
514.0,124.075
515.0,124.02499999999998
516.0,123.975
517.0,123.92499999999998
518.0,123.875
519.0,123.82499999999999
520.0,123.775
521.0,123.72499999999998
522.0,123.67499999999998
523.0,123.62499999999999
524.0,123.57499999999999
525.0,123.52499999999999
526.0,123.475
527.0,123.425
528.0,123.375
529.0,123.325
530.0,123.27499999999998
531.0,123.225
532.0,123.17499999999998
533.0,123.125
534.0,123.07499999999999
535.0,123.025
536.0,122.97499999999998
537.0,122.92499999999998
538.0,122.87499999999999
539.0,122.82499999999999
540.0,122.77499999999999
541.0,122.725
542.0,122.675
543.0,122.625
544.0,122.575
545.0,122.52499999999998
546.0,122.475
547.0,122.42499999999998
548.0,122.375
549.0,122.32499999999999
550.0,122.275
551.0,122.22499999999998
552.0,122.17499999999998
553.0,122.12499999999999
554.0,122.07499999999999
555.0,122.02499999999999
556.0,121.975
557.0,121.925
558.0,121.875
559.0,121.825
560.0,121.77499999999998
561.0,121.725
562.0,121.67499999999998
563.0,121.625
564.0,121.57499999999999
565.0,121.525
566.0,121.47499999999998
567.0,121.42499999999998
568.0,121.37499999999999
569.0,121.32499999999999
570.0,121.27499999999999
571.0,121.225
572.0,121.175
573.0,121.125
574.0,121.075
575.0,121.02499999999998
576.0,120.975
577.0,120.92499999999998
578.0,120.875
579.0,120.82499999999999
580.0,120.775
581.0,120.72499999999998
582.0,120.67499999999998
583.0,120.62499999999999
584.0,120.57499999999999
585.0,120.52499999999999
586.0,120.475
587.0,120.425
588.0,120.375
589.0,120.325
590.0,120.27499999999998
591.0,120.225
592.0,120.17499999999998
593.0,120.125
594.0,120.07499999999999
595.0,120.025
596.0,119.97499999999998
597.0,119.92499999999998
598.0,119.87499999999999
599.0,119.82499999999999
600.0,119.77499999999999
